avg_dwell,avg_flight,speed,pauses,errors,label
0.225,0.223,3.2,5,5,high
0.235,0.267,4.25,5,5,high
0.253,0.233,3.49,5,4,high
0.2,0.167,5.25,1,0,low
0.152,0.161,5.71,2,2,low
0.149,0.142,5.37,2,2,low
0.191,0.147,5.29,2,0,low
0.267,0.24,3.59,4,4,high
0.149,0.168,5.53,0,0,low
0.24,0.278,4.18,3,4,high
0.197,0.105,5.32,1,1,low
0.151,0.156,5.15,0,2,low
0.27,0.277,3.08,2,2,high
0.239,0.243,3.2,4,2,high
0.179,0.169,5.66,2,2,low
0.23,0.292,3.81,5,2,high
0.178,0.148,5.83,0,1,low
0.196,0.16,5.63,2,0,low
0.225,0.249,3.5,2,4,high
0.222,0.24,3.64,2,5,high
0.193,0.174,5.55,0,2,low
0.232,0.265,3.49,3,2,high
0.234,0.271,4.31,3,5,high
0.173,0.113,5.47,1,0,low
0.188,0.111,5.57,2,2,low
0.283,0.257,3.65,4,2,high
0.24,0.239,3.92,4,5,high
0.18,0.156,5.32,2,1,low
0.196,0.166,5.26,1,0,low
0.28,0.218,3.03,4,5,high
0.298,0.298,4.16,2,2,high
0.141,0.139,5.51,1,0,low
0.159,0.179,5.8,1,0,low
0.146,0.142,5.14,2,1,low
0.252,0.23,4.37,3,5,high
0.166,0.134,5.23,1,0,low
